filename,region,year,party,language,line,num_words
AND_1990_PA_es.pdf,AND,1990,PA,es,"El Programa del Partido Andalucista se ha diseñado a partir del desafío histórico que implica la construcción en Andalucía de una auténtica democracia social avanzada, superando los obstáculos del desencanto y la corrupción impuestos por la base política dominante, a través de unas propuestas de transparencia, eficacia y honradez, capaces de aportar el mayor bienestar de la sociedad andaluz.",59
AND_1990_PA_es.pdf,AND,1990,PA,es,Los elementos fundamentales de esta propuesta programática son: ) Asegurar una política de eficacia mediante la educación de la actuación pública a las regularidades de la propia sociedad andaluza cuyo antagonismo debe ser la clave de una auténtica democracia.,39
AND_1990_PA_es.pdf,AND,1990,PA,es,") Promover una política de bienestar que orienta a modernización de Andalucía hacia unos niveles de calidad de vida adecuados al contexto social,ográfico e histórico de la Europa Mediterránea.",29
AND_1990_PA_es.pdf,AND,1990,PA,es,") Establecer unos criterios de transparencia, anticipación, responsabilidad y control que aseten la mayor honradez en la actuación pública, sintiendo a la sociedad andaluza comunicarse a un administrador que no esté con la por los políticos.",36
AND_1990_PA_es.pdf,AND,1990,PA,es,"En base a estos criterios, el Partido Andalucista tiene los siguientes objetivos programáticos privados: ) Dignificación de nuestras Instituciones Autonómicas.",20
AND_1990_PA_es.pdf,AND,1990,PA,es,Ejercicio pleno del liderazgo político en favor de Andalucía por el Presidente de la Junta y potenciación del papel del Parlamento Andaluz.,22
AND_1990_PA_es.pdf,AND,1990,PA,es,) Profundización en el autogobierno con la ampliación de competencias de la Comunidad Autónoma y a la vez de la plena aplicación del Estatuto de Autonomía.,26
AND_1990_PA_es.pdf,AND,1990,PA,es,) Pacto de las fuerzas políticas parlamentarias para la efectiva neutralidad de la Administración y la profesionalización de la función pública andaluza.,22
AND_1990_PA_es.pdf,AND,1990,PA,es,") Mejora sustancial de la calidad de los servicios públicos, principalmente de la sanidad, negociando con firmeza la liquidación de la deuda pendiente del Estado con Andalucía.",27
AND_1990_PA_es.pdf,AND,1990,PA,es,") Fuerte incremento de la inversión pública en infraestructuras, orientado a la dinamización de nuestras potencialidades económicas y a la superación de los desequilibrios territoriales.",25
AND_1990_PA_es.pdf,AND,1990,PA,es,) Apoyo programado a las PYMES andaluzas que asegure una presencia competitiva de nuestros productos en los mercados español y europeo.,21
AND_1990_PA_es.pdf,AND,1990,PA,es,Reorientación de nuestra oferta turística.,5
AND_1990_PA_es.pdf,AND,1990,PA,es,") Modernización de los sectores agrario y pesquero, teniendo en cuenta el nuevo contexto europeo.",15
AND_1990_PA_es.pdf,AND,1990,PA,es,) Una imaginativa política integral hacia la juventud encaminada a su mejor preparación e integración laboral y social.,18
AND_1990_PA_es.pdf,AND,1990,PA,es,) Una estrategia de desarrollo que proteja nuestro rico patrimonio natural y asegure la calidad de vida de los andaluces.,20
AND_1990_PA_es.pdf,AND,1990,PA,es,Desmantelamiento de El Cabril y conservación de Doñana. ) Un proyecto educativo-cultural al servicio de nuestra identidad como pueblo diferenciado.,20
AND_1990_PA_es.pdf,AND,1990,PA,es,"La ilusionante lucha que llevó a los andaluces a conseguir un Estatuto de Autonomía cuyos límites competenciales eran los máximos previstos en la Constitución, contrasta con la frustración que el pueblo andaluz padece, al ver transformado su autogobierno en una mala descentralización administrativa y mediatizadas sus instituciones por subordinación política y la claudicación ante el Gobierno Central.",57
AND_1990_PA_es.pdf,AND,1990,PA,es,La política del PSOE de estos últimos años ha logrado desactivar la carga reivindicativa de la autonomía andaluza y neutralizado el potencial autonómico de nuestro pueblo.,26
AND_1990_PA_es.pdf,AND,1990,PA,es,El Partido Andalucista plantea como primer objetivo de su Programa la reconstrucción autonómica.,13
AND_1990_PA_es.pdf,AND,1990,PA,es,"Fieles a nuestra concepción de ser una organización política integradora de los distintos sectores sociales nos proponemos liderar el esfuerzo colectivo de nuestro pueblo, si éste nos otorga su confianza.",30
AND_1990_PA_es.pdf,AND,1990,PA,es,Bien entendido que no pretendemos la ocupación partidista de las distintas parcelas de la vida social ni el control político de la misma.,23
AND_1990_PA_es.pdf,AND,1990,PA,es,"Andalucía necesita de la aportación y el esfuerzo de sus mejores hijos sin condicionarlos al color político de quien gobierne, con los únicos criterios de la capacitación y la competencia profesional.",31
AND_1990_PA_es.pdf,AND,1990,PA,es,"Por consiguiente, en primer lugar, es necesario recuperar un ámbito propio de decisiones políticas para el bien de Andalucía, hoy secuestrado por el centralismo que ejerce su poder disciplinario incluso desestabilizando las propias instituciones autonómicas.",35
AND_1990_PA_es.pdf,AND,1990,PA,es,"Para conseguir este objetivo es absolutamente preciso ejercer con dignidad y firmeza, el liderazgo político de Andalucía por el Presidente de la Junta.",23
AND_1990_PA_es.pdf,AND,1990,PA,es,"En segundo lugar es urgente la adopción de comportamientos ejemplificadores y de medidas políticas para detener el proceso de deterioro de nuestras instituciones democráticas, con el consiguiente desprestigio de la denominada clase política y sus organizaciones.",36
AND_1990_PA_es.pdf,AND,1990,PA,es,"El Partido Andalucista aboga por recuperar la confianza de la sociedad en sus instituciones, imponiendo un estilo ético en los políticos, favoreciendo la transparencia en la acción pública y estimulando la participación ciudadana en la vida política.",37
AND_1990_PA_es.pdf,AND,1990,PA,es,"En este sentido insiste de nuevo en sus propuestas de modificaciones legales, aplicación real de la Ley de Incompatibilidades de Altos Cargos recientemente aprobada y constitución de una Comisión Parlamentaria de carácter permanente sobre Tráfico de Influencias y aspectos análogos.",40
