filename,region,year,party,language,line,num_words
AND_1990_PP_es.pdf,AND,1990,PP,es,El Partido Popular de Andalucía se propone como objetivo básico un ejercicio de las competencias de nuestra Comunidad Autónoma que prestigie nuestra Autonomía y la convierta en instrumento eficaz para la solución de los problemas de nuestra tierra.,38
AND_1990_PP_es.pdf,AND,1990,PP,es,Todo ello exige: - Un diseño de la Administración Autonómica basado en los principios de mérito y capacidad.,18
AND_1990_PP_es.pdf,AND,1990,PP,es,Sólo una Función Pública profesionalizada puede lograr las cotas de eficacia exigibles para dar credibilidad a las inevitables actitudes reivindicativas.,20
AND_1990_PP_es.pdf,AND,1990,PP,es,- Un funcionamiento del Parlamento que lo convierta en escenario de un continuo debate abierto y plural.,17
AND_1990_PP_es.pdf,AND,1990,PP,es,"Una vez que los andaluces decidan quién debe gobernarlos y con qué mayoría, la Cámara no debe ser el simple cauce para convertir en ley los proyectos del Gobierno.",29
AND_1990_PP_es.pdf,AND,1990,PP,es,"Su funcionamiento ha de facilitar un control efectivo de la acción del Ejecutivo, en garantía de los intereses de los ciudadanos.",21
AND_1990_PP_es.pdf,AND,1990,PP,es,"- Una justicia cuya independencia y eficacia no se vea coartada por falta de medios humanos o materiales y cuya implantación la acerque a los ciudadanos, respetando los criterios descentralizadores establecidos por las instituciones andaluzas en ejercicio de su autonomía.",40
AND_1990_PP_es.pdf,AND,1990,PP,es,"- El respeto a la autonomía, política y administrativa, que a los municipios y provincias reconoce nuestra Constitución, evitando todo asomo de neocentralismo.",23
AND_1990_PP_es.pdf,AND,1990,PP,es,"- Un permanente diálogo social, a través de las instituciones previstas por nuestra Constitución, cuya puesta en marcha resulta ya inexcusable.",21
AND_1990_PP_es.pdf,AND,1990,PP,es,"- Una actitud de respeto a los ámbitos de comunicación pública, que posibilite la expresión de una opinión plural, libre de toda cortapisa gubernativa.",24
AND_1990_PP_es.pdf,AND,1990,PP,es,"Nuestra Administración Autonómica, tras años de gestión socialista, sufre las consecuencias de una absoluta falta de diseño, fruto de una insólita ineptitud o de un calculado designio politizador.",28
AND_1990_PP_es.pdf,AND,1990,PP,es,La llamativa incapacidad para convocar los obligados concursos de acceso a la Función Pública se ha visto acompañada por la masiva incorporación de personal interino.,25
AND_1990_PP_es.pdf,AND,1990,PP,es,"El afán por contar con más empleados públicos, aumentando incluso las dotaciones existentes antes de transferirse los servicios, no ha logrado disimular el empeño frecuente por rodearse de colaboradores distintos, desde una óptica partidista.",34
AND_1990_PP_es.pdf,AND,1990,PP,es,"Sólo en vísperas electorales se ha procedido a convocar los oportunos concursos, que se han visto impugnados, al existir indicios de nuevos atropellos a los principios constitucionales.",27
AND_1990_PP_es.pdf,AND,1990,PP,es,"- El Partido Popular de Andalucía, en coherencia con sus principios programáticos y para superar tan lamentable situación, considera ineludible una nueva Ley de Ordenación de la Función Pública, para que los empleados públicos lo sean de la Administración Autonómica y no del partido de turno.",46
AND_1990_PP_es.pdf,AND,1990,PP,es,"Dicha ley se elaborará en diálogo permanente con los efectivos representantes de los funcionarios, sin cuya experiencia y apoyo toda reforma administrativa se verá condenada al fracaso.",27
